"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Priscill.","Priscillianus","Priscillian Bishop of Avila","Ávila, Spain","Avila, Hispania","236361","CE 4",,"CE 385",,"Y","Y","40.655816000000002","-4.7005730000000003"
"Val.Abb.","Valerius Bergidensis",,"Bierzo, Spain","Bergidium Flavium, Hispania Tarraconensis","236370","CE 7",,,,"Y","Y","42.599818999999997","-6.725657"
"Avit.-Brac.","Avitus Presbyter Bracarensis",,"Braga, Portugal","Bracara Augusta, Hispania Tarraconensis","236377","CE 5",,"CE 440",,"Y","Y","41.550874999999998","-8.4249729999999996"
"Martin.Brac.","Martinus Bracarensis","Saint Martin of Braga","Braga, Portugal","Bracara Augusta, Hispania Tarraconensis","236377","CE 6","CE 520","CE 580",,"Y","Y","41.550874999999998","-8.4249729999999996"
"Oros.","Paulus Orosius",,"Braga, Portugal","Bracara Augusta, Hispania Tarraconensis","236377","CE 5","c. CE 375","After CE 418",,"Y","Y","41.550874999999998","-8.4249729999999996"
"Martin.-Brac.","Martinus Braccarensis",,"Braga, Portugal","Dumium","236454","CE 6","CE 520","CE 580",,,"Y","41.569911699999999","-8.4348872999999998"
"Var.At.","Publius Terentius Varro Atacinus","Varro Atacinus","?","Atax, Gallia Narbonensis","243199","BCE 1","c. BCE 82","c. BCE 35",,"N","N",,
"Al.","Alaric II",,"Aire-sur-l'Adour","Atura/Vicus Iulii","246201","CE 6",,,"CE 484 - 507","Y",,"43.701402000000002","-0.26328200000000002"
"Ioh.-Bicl.","Iohannes Biclarensis",,"Vallclara, Spain","Biclaro (halfway between Ilerda and Tarraco), Hispania Tarraconensis","246245","CE 6-7","CE 540","CE 621",,"Y","Y","41.377392","0.98200399999999999"
"Mart.","Marcus Valerius Martialis","Martial","Calatayud, Spain (born) / Rome, Italy","Bilbilis Augusta, Hispania Tarraconensis (born) / Roma, Italia","246247 / 423025","CE 1","c. CE 38","c. CE 104",,"N","N",,
"Quint.","Marcus Fabius Quintilianus","Quintilian","Calahorra, Spain","Calagurris (Nassica) Iulia, Hispania Tarraconensis","246279","CE 1","c. CE 35","c. CE 96",,"N","N","42.302601500000002","-1.9630805"
"Prud.","Aurelius Clemens Prudentius",,"Calahorra, Spain","Calagurris, Hispania Tarraconensis","246280","CE 4","c. CE 348","c. CE 413",,"Y","Y","42.325637999999998","-0.61192599999999997"
"Pacian.","Pacianus Barcilonensis",,"Barcelona, Spain","Barcino, Hispania Tarraconensis","246343","CE 4",,,,"Y","Y","41.385636400000003","2.1735669999999998"
"Flav.Luc.Dext.","Flavius Lucius Dexter",,"Barcelona, Spain? (Where his father was from)","Barcino, Hispania Tarraconensis (?)","246343 (?)","CE 5",,,,"Y","Y",,
"Max.Caes.","Maximus Caesaraugustanus",,"Zaragoza, Spain","Caesaraugusta, Hispania Tarraconensis","246344","CE 7",,,,"Y","Y","41.664902724999997","-0.88451170000000001"
"Braul.","Braulius Caesaraugustanus","St. Braulio","Zaragoza, Spain","Caesaraugusta, Hispania Tarraconensis","246344","CE 7","c. CE 581","c. CE 651",,"Y","Y","41.664902724999997","-0.88451170000000001"
"Taio.","Taio Caesaraugustanus",,"Zaragoza, Spain","Caesaraugusta, Hispania Tarraconensis","246344","CE 7",,,,"Y","Y","41.664902724999997","-0.88451170000000001"
"Bulg.","Bulgaranus comes",,"Narbonne, France","Narbo Martius, Gallia Narbonensis","246347","CE 7",,,"c. CE 612","Y","Y","43.183616499999999","3.004203"
"Ferreol.","Ferreolus Ucetiensis",,"Narbonne, France","Narbo Martius, Gallia Narbonensis","246347","CE 6",,,,"Y","Y","43.183616499999999","3.004203"
"Iust.-Urg.","Iustus Urgellensis",,"Le Seu d'Urgell, Spain","Urgellum, Hispania Tarraconensis","246718","CE 6",,,,"Y","Y","42.356296999999998","1.459471"
"Oss.","Ossius Cordubensis",,"Cordoba, Spain","Corduba, Hispania Baetica","256128","CE 4",,,,"Y","Y","37.884683000000003","-4.7791709999999998"
"Luc.","Marcus Annaeus Lucanus","Lucan","Cordoba, Spain / Rome, Italy","Corduba, Hispania Baetica / Roma, Italia","256128 / 423025","CE 1","CE 39","CE 65",,"N","N",,
"ps.-Sen.","Ps.-Lucius Annaeus Seneca Iunior","Seneca the Younger","Cordoba, Spain / Rome, Italy","Corduba, Hispania Baetica / Roma, Italia","256128 / 423025","CE 1","c. BCE 4","CE 65",,"N","N",,
"Sen.Rhet.","Lucius Annaeus Seneca Senior","Seneca the Elder/Seneca the Rhetorician","Cordoba, Spain / Rome, Italy","Corduba, Hispania Baetica / Roma, Italia","256128 / 423025","BCE 1-1 CE","c. BCE 50","CE 39",,"N","N",,
"Sen.","Lucius Annaeus Seneca Iunior","Seneca the Younger","Cordoba, Spain / Rome, Italy","Corduba, Hispania Baetica / Roma, Italia","256128 / 423025","CE 1","c. BCE 4","CE 65",,"N","N",,
"PaulE.","Paulus Emeritanus",,"Merida, Spain","Emerita Augusta, Hispania Lusitania","256155","CE 7",,,,"Y","Y","38.916096500000002","-6.3401006666999997"
"Col.","Columella",,"Cadiz, Spain","Gades, Hispania Baetica","256177","CE 1",,,"pre CE 50",,,"36.52898544","-6.2936143400000004"
"Conc.Hisp.","Concilium Hispalense II",,"Seville, Spain","Hispalis, Hispania Baetica","256210","CE 7",,,"CE 619","Y","Y","37.382668000000002","-5.9962929999999997"
"Isid.","Isidorus Hispalensis (Appendix)","Isodore of Seville","Seville, Spain","Hispalis/Colonia Romula, Hispania","256210","CE 7","c. CE 570","c. CE 636",,"Y","Y","37.382668000000002","-5.9962929999999997"
"Leand.","Leandrus Hispalensis",,"Seville, Spain","Hispalis, Hispania Baetica","256210","CE 6",,,,"Y","Y","37.382668000000002","-5.9962929999999997"
"Isid.","Isidorus Hispalensis","Isidore of Seville","Seville, Spain","Hispalis/Colonia Romula, Hispania","256210","CE 6","CE 560","CE 636",,"Y","Y","37.382668000000002","-5.9962929999999997"
"Mela.","Pomponius Mela",,"Algeciras, Spain","Tingentera, Hispania","256235","CE 1",,,"CE 43","N","N","36.129767999999999","-5.4477440000000001"
"Potam.","Potamius Episcopus Olisiponensis",,"Lisbon, Portugal","Olisipo, Hispania Lusitania","256338","CE 4",,"CE 357 (post)",,"Y","Y","38.707166000000001","-9.1355070000000005"
"Greg.-Illib.","Gregorius Illiberitanus",,,"Iliberri, Hispania","265921","CE 4","d. CE 392+",,,"Y","Y","37.176484000000002","-3.597934"
"Greg.-Illib.","Gregorious Illiberitanus","Gregory of Elvira, St.","Granada, Spain","Iliberri, Hispania","265921","CE 4","d. CE 392+",,,"Y","Y","37.176484000000002","-3.597934"
"Iul.Tol.","Iulianus Toletanus","Julian of Toledo","Toledo, Spain","Toletum, Hispania","266066","CE 7","CE 642","CE 690",,,,"39.856679999999997","-4.0244910000000003"
"Recc.","Reccaredus Visigothorum","Reccared","Toledo, Spain (His capital)","Toletum, Hispania Tarraconensis","266066","CE 6",,,,"Y","Y","39.856679999999997","-4.0244910000000003"
"Sisbert.-T.","Sisbertus Toletanus",,"Toledo, Spain","Toletum, Carpetania","266066","CE 7",,,,,"Y","39.856679999999997","-4.0244910000000003"
"Pomer.","Iulianus Pomerius",,"Toledo, Spain","Toletum, Hispania Tarraconensis","266066","CE 5",,,,"Y","Y","39.856679999999997","-4.0244910000000003"
"Mont.Tol.","Montanus Toletanus",,"Toledo, Spain","Toletum, Hispania Tarraconensis","266066","CE 6",,,,"Y","Y","39.856679999999997","-4.0244910000000003"
"Cereal.","Cerealis Castellensis",,"N. Algeria","Mauretania Caesariensis","285482","CE 5",,,,,"Y","36.522855749999998","3.6414694999999999"
"Garg.Mart.","Quintus Gargilius Martialis",,"May have died in Sour El-Ghozlane, Algieria","May have died in Auzia, Mauretania Caesariensis","295221","CE 3",,"c. CE 260",,"Y","N","36.144447499999998","3.6912750000000001"
,"Passio S. Fabii vexilliferi",,"Cherchell, Algeria","Caesarea, Mauretania Caesariensis","295279",,,,,,,"36.607058000000002","2.1918495"
"Pris.","Priscianus Caesariensis","Priscianus of Caesarea / Priscian","Cherchell, Algeria","Iol Caesarea","295279","CE 5-6",,,"c. CE 490-500","Y",,"36.607058000000002","2.1918495"
,"Passio S. Arcadii Caesarae Mauritaniae",,"Cherchell, Algeria","Caesarea, Mauretania Caesariensis","295279",,,,,,,"36.607058000000002","2.1918495"
,"Passio S. Typasii Ticauensis in Mauritania",,,"Tigava Municipium","295358",,,,,,,"36.25","1.75"
,"Passio S. Salsae virginis Tipasitanae",,,"Tipasa","295363",,,,,,,"36.593950999999997","2.440944"
"Poss.","Possidius Calamensis",,"Guelma, Algeria","Calama, Numidia","305039","CE 5",,,,"Y","Y","36.464330500000003","7.4276770000000001"
,"Passio Mariani et Iacobi",,,"Cirta and Lambaesis, Numidia","305064","CE 4",,,,,,"36.368114666700002","6.6133026667000001"
"Aug.","Augustinus Hipponensis","St. Augustine of Hippo","Annaba, Algeria","Hippo Regius, Numidia","305090","CE 4","CE 354","CE 430",,"Y","Y","36.882477999999999","7.7512720000000002"
"Suet.","Gaius Suetonius Tranquillus","Suetonius","Annaba, Algeria","Hippo Regius, Numidia","305090","c. CE 1-2","c. CE 70","c. CE 150",,"N","N","36.882477999999999","7.7512720000000002"
"Optat.","Optatus Milevitanus",,"Mila, Algeria","Milev(is), Numidia","305109","CE 4",,,,"Y","Y","36.451276499999999","6.2676980000000002"
"Eugipp.","Eugyppius Africae",,"NE Algeria and NW Tunisia","Lucullianis, Numidia","311116","CE 6",,,,"Y","Y",,
,"Passio SS. Saturnini, Dativi, Felicis, Ampelii",,,"Abitina","314842",,,,,,,"36.627873999999998","9.5490849999999998"
"Capreol.","Capreolus Carthaginiensis",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,"CE 437","c. CE 430-439","Y",,"36.848372120000001","10.32340778"
"Liberat.","Liberatus Carthaginiensis",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 6",,,,"Y","Y","36.848372120000001","10.32340778"
"ps.-Tert.","ps.-Quintus Septimius Florens Tertullianus","Tertullian","Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 2","c. CE 150-160","c. CE 225-240",,"N","Y","36.848372120000001","10.32340778"
"Nemes.","Marcus Aurelius Olympius Nemesianus","Nemesianus","Tunis, Tunisia","Carthago","314921","CE 3",,,"CE 284","N","N","36.848372120000001","10.32340778"
"Ferrand.","Fulgentius Ferrandus",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 6",,,,"Y","Y","36.848372120000001","10.32340778"
"Pont.","Pontius diaconus",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 3",,,,,"Y","36.848372120000001","10.32340778"
"Cypr.","Cyprianus Carthaginensis","Cyprian of Carthage","Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 3","c. CE 200","CE 258","c. CE 249-258","N","Y","36.848372120000001","10.32340778"
"Cypr(Ps).","Cyprianus, Ps.","Cyprianus, Ps.","Algeria","Africa","314921","CE 3",,,,"Y","Y","36.848372120000001","10.32340778"
,"Passio Montani et Lucii",,,"Carthage","314921",,,,,,,"36.848372120000001","10.32340778"
"Gen.Patr.","Anonymus (Opera De Tempore in CPL)",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,,,,"Y","36.848372120000001","10.32340778"
"Mar.Cap.","Martianus Minneius Felix Capella",,"Tunis, Tunisia","Carthage","314921","CE 5",,,"CE 410-439","Y","Y","36.848372120000001","10.32340778"
"Drac.","Dracontius, Blossius Aemilius",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,,,"Y","Y","36.848372120000001","10.32340778"
"Quod.","Quodvultdeus",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,,,"Y","Y","36.848372120000001","10.32340778"
"Fav.Eul.","Favonius Eulogius",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,,"c CE 400","Y",,"36.848372120000001","10.32340778"
"Tert.","Quintus Septimius Florens Tertullianus","Tertullian","Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 2","c. CE 150-160","c. CE 225-240",,"N","Y","36.848372120000001","10.32340778"
"VicCarth","Victor Carthaginensis",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 7",,,,"Y","Y","36.848372120000001","10.32340778"
"Lux.","Luxorius",,"Tunis, Tunisia","Carthage","314921","CE 6",,,,"Y",,"36.848372120000001","10.32340778"
"Aur.-Carth","Aurelius Carthaginensis",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 5",,"CE 430",,"Y",,"36.848372120000001","10.32340778"
"Gordian.","Gordianus I, Marcus Antonius","Emperor Gordian I","Carthage, Tunisia (died)","Carthago, Africa Proconsularis","314921","CE 2-3","c. CE 158","CE 238",,,"N","36.848372120000001","10.32340778"
"Conc.Carth.2.","Concilia Carthaginensia",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 3",,,,"Y","Y","36.848372120000001","10.32340778"
"Licin.","Licinianus Carthaginiensis",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 6",,,,"Y","Y","36.848372120000001","10.32340778"
"Conc.Carth.1.","Concilia Carthaginensia",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 3",,,,,"Y","36.848372120000001","10.32340778"
"Fulg.","Fulgentius, Fabius Claudius Gordianus Planciades",,"Carthage, Tunisia","Carthago, Africa Proconsularis","314921","CE 6","CE 468","CE 533",,"Y","Y","36.848372120000001","10.32340778"
"Ter.","Publius Terentius Afer","Terence","Carthage, Tunisia (born) / Rome, Italy","Carthago, Africa Proconsularis / Roma, Italia","314921 / 423025","BCE 2","c. BCE 194","c. BCE 159",,"N","N",,
"Apul.","Apuleius",,"M'daourouch, Algeria","Madauros, Numidia","315065","CE 2","CE c. 125","CE c. 180","?","N","N","36.077734999999997","7.9027159999999999"
"Arn.","Arnobius Afer",,"El Kef, Tunisia","Sicca Veneria, Numidia","315152","CE 3","CE 284","CE 327",,"Y","Y","36.180570000000003","8.7122039999999998"
"Eutychius.Proc.","Eutychius Proculus",,"El Kef, Tunisia","Sicca Veneria, Carthago","315152","CE 2",,,,,,"36.180570000000003","8.7122039999999998"
"Lactant.","Lucius Caecilius Firmianus Lactantius","Lactantius","Tunisia / Izmit, Turkey / France","Sicca Veneria / Nicomedia / Gallia","315152 / 511337 / 993","CE 3","c. CE 250","c. CE 325",,"Y","N",,
,"Passio S. Felicis Episcopi Thibiacensis",,,"Thibiuca","315203",,,,,,,"36.75","9.75"
,"Passio SS. Maximae, Secundae et Donitillae",,,"Thuburbo Maius","315220",,,,,,,"36.400354999999998","9.9039905000000008"
"Afric.","Caecilius Africanus, Sextus",,"Tebourba, Tunisia","Thuburbo Minus, Numidia","315220","CE 2",,"CE 180","c. CE 130-140","N","N","36.400354999999998","9.9039905000000008"
"Vict.-Ton.","Victor Tununensis",,"Tunis, Tunisia","Tunes, Africa Proconsularis","315233","CE 6",,,,"Y","Y","36.799230000000001","10.171649"
"Vict.","Victor Vitensis",,"C69, Tunisia","Utica, Africa Proconsularis","315248","CE 5",,,,"Y","Y","37.055610999999999","10.061305000000001"
"Evod.","Evodius Upsalensis",,"El Alia, Tunisia","Uzalis, Africa Proconsularis","315251","CE 5",,,,"Y","Y","37.169047999999997","10.033986000000001"
"Aquil.Gall.","Gaius Aquilius Gallus",,"Kerkennah Islands","Cercina ","324690","BCE 1",,,,,,"34.786565299999999","11.234266099999999"
,"Acta Scillitanorum",,"Kasserine, Tunisia","Cillium, Numidia","324694","CE 2",,,,"N","Y","35.167509333300004","8.8124646667000004"
"Primas.","Primasius Adrumetanensis",,"Sousse, Tunisia","Hadrumetum, Africa Proconsularis","324716","CE 6",,,,"Y","Y","35.825865999999998","10.638780000000001"
"Julian. (Salv.Iul.)","Lucius Octavius Cornelius Salvius Iulianus","Salvius Julianus","Sousse, Tunisia","Hadrumetum","324716","CE 2","c. CE 100",,,"N","N","35.825865999999998","10.638780000000001"
"Vigil.","Vigilius Tapsensis",,"Bekalta Monastir, Tunisia","Thapsus, Africa Proconsularis","324827","CE 5","c. CE 484",,,"Y","Y","35.622554000000001","11.042847999999999"
"Vigil. Taps","Vigilius Tapsensis",,"Bekalta Monastir, Tunisia","Thapsus, Africa Proconsularis","324827","CE 5","c. CE 484",,,"Y","Y","35.622554000000001","11.042847999999999"
"Fulg.-R.","Fulgentius Ruspensis",,"Thelepte, Tunisia","Thelepte, Africa Proconsularis","324828","CE 6",,"CE 533",,"Y","Y","34.978743000000001","8.5952260000000003"
,"Passio S. Crispinae",,,"Theveste","324831","CE 4",,,,,,"35.404173999999998","8.1223144999999999"
,"Acta S. Maximiliani",,,"Theveste","324831",,,,,,,"35.404173999999998","8.1223144999999999"
,"Passio SS. Siriaci et Paulae",,"Sougda, Tunisia","Urusi, Africa Proconsularis","324840",,,,,,,"35.987088999999997","9.5772720000000007"
,"Passio SS. Mammarii presbyteri et soc.",,,"Lambaesis","334570",,,,,,,"35.489727500000001","6.2573565000000002"
"Flav.Pud.","Publius Flavius Pudens Pomponianus",,"Timgad, Algeria","Thamugadi, Numidia","334636","CE 2-3",,,,,,"35.48489","6.4683703333000002"
"Sept.Sev.","Caesar L. Septimius Severus Pertinax Augustus","Emperor Septimius Severus","Lebda, Libya / Rome, Italy","Lepcis Magna, Tripolitania / Roma, Italia","344448 / 423025","CE 2-3","CE 145","CE 211","CE 193-211",,,,
"Max.Taur.","Maximus Taurinensis",,"Turin, Italy","Augusta Taurinorum, ??","383580","CE 5",,,,"Y","Y","45.072839399999999","7.6855837332999997"
"PS-MAX","Maximus Episcopus Taurinensis II, Ps.","Maximus, St.","Turin, Italy","Augusta Taurinorum","383580","5th","c. CE 451-465",,,"Y","Y","45.072839399999999","7.6855837332999997"
"Schol. Bob.","Scholia Bobiensia",,"Bobbio, Italy","Bobium, Gallia Cisalpina","383594",,,,,,,"44.771638000000003","9.3863660000000007"
"Filastr.","Philastrius Brixiensis",,"Brescia, Italy","Brixia, Italia","383603","CE 4",,,,"Y","Y","45.539901399999998","10.225738925"
"Gaud.","Gaudentius Brixiensis",,"Brescia, Italy","Brixia, Italia","383603","CE 4",,,,"Y","Y","45.539901399999998","10.225738925"
"Alf.Var.","Publius Alfenus Varus","Alfenus Varus","Cremona, Italy","Cenomani, Gallia Cisalpina","383614","BCE 1",,,,"N","N","45.25","9.75"
"Plin.Val.","Plinius Valerianus",,"Como, Italy","Comum, Italia","383627","CE 6/7",,,,,,"45.811920000000001","9.0857840000000003"
"Plin.Sen.","Gaius Plinius Secundus","Pliny the Elder","Como, Italy / Rome, Italy","Comum, Italia (Born) / Roma, Italia","383627 / 423025","CE 1","c. CE 23","c. CE 79",,"N","N",,
"Plin.Iun.","Gaius Plinius Caecilius Secundus","Pliny the Younger","Como, Italy / Rome, Italy","Comum, Italia (Born) / Roma, Italia","383627 / 423025","CE 1-2","c. CE 61","c. CE 113",,"N","N",,
"Eus.-Crem.","Eusebius Cremonensis",,"Cremona, Italy","Cremona, Italia","383628","CE 5",,,,"Y",,"45.133639000000002","10.026149"
"Arat.","Arator",,"Liguria, Italy","Liguria, Italia","383698","CE 6","c. CE 490","c. CE 556","?","Y","Y","44.226565494299997","9.2357077266999994"
"ps.-Verg.","ps.-Publius Vergilius Maro","Virgil / Vergil","Mantova, Italy (born) / Rome, Italy","Mantua, Italia (born) / Roma, Italia","383704 / 423025","BCE 1","BCE 70","BCE 19",,"N","N",,
"Verg.","Publius Vergilius Maro","Virgil / Vergil","Mantova, Italy (born) / Rome, Italy","Mantua, Gallia Cisalpina (born) / Roma, Italia","383704 / 423025","BCE 1","BCE 70","BCE 19",,"N","N",,
"Caecil.","Caecilius Statius ",,"Milan, Italy","Mediolanium, Italy","383706","BCE 2",,"BCE 168","c. BCE 180",,,"45.463746","9.1880600000000001"
"Ambr.","Aurelius Ambrosius Mediolanensis","St. Ambrose of Milan","Milan, Italy","Mediolanium, Italia","383706","CE 4","c. CE 330","c. CE 397",,"Y","Y","45.463746","9.1880600000000001"
"Paulin.","Paulinus Mediolanensis",,"Milan, Italy","Mediolanium, Italia","383706","CE 5",,,,"Y","Y","45.463746","9.1880600000000001"
"Aug(Ps).","Augustinus, Ps.","Augustine, Ps.","Milan / Pavia","Mediolanium / Ticinum","383706 / 383798","CE 4",,,,"N","Y",,
"Laurent.","Laurentius Novariensis",,"Novara, Italy","Novaria, Italia","383717","CE 5",,,,"Y","Y","45.445081999999999","8.6186609999999995"
"Albuc.","Albucius Silus, Gaius",,"Novara, Italy","Novaria, Gallia Cisalpina","383717","BCE 1 - CE 1",,,,,,"45.445081999999999","8.6186609999999995"
"Anton.","Antoninus Placentinus",,"Piacenza, Italy","Placentia, Italia","383741","CE 3","c. CE 270","c. CE 303","?","Y","Y","45.052585499999999","9.6976645000000001"
"Ennod.","Ennodius Ticinensis, Magnus Felix",,"Pavia, Italy","Ticinum, Gallia Transpadana","383798","CE 6","c. CE 473","c. CE 521",,"Y","Y","45.185898999999999","9.1565619999999992"
"Eutrand.","Eutrandus Ticinensis",,"Pavia, Italy / Cremona, Italy","Ticinum, Gallia Transpadana / Cremona, Italia","383798 / 383628","CE 7",,,,"Y","Y",,
"Val.Cat.","Publius Valerius Cato",,,"Gallia Cisalpina","383801","BCE 1",,,,"N","N","45.463746","9.1880600000000001"
"Vigil. Trid.","Vigilius Tridentinus",,"Trento, Italy","Trident(i)um, Italia","383804","CE 4",,,"c. Ce 385-405","Y","Y","46.066768500000002","11.119135"
"Eus.","Eusebius Vercellensis",,"Vercelli, Italy","Vercellae, Italia","383815","CE 4",,,,"Y","Y","45.321094000000002","8.4263739999999991"
"Cor.Not.","Coronatus Notarius",,"Verona, Italy","Verona, Italia","383816","CE 8",,,,"Y","Y","45.441366649999999","10.9951494333"
"Aem.Macer.","Macer, Aemilius [ps.]",,"Verona, Italy","Verona, Italia","383816","BCE 1",,"BCE 16",,"N","N","45.441366649999999","10.9951494333"
"Aem.Macer.","Macer, Aemilius",,"Verona, Italy","Verona, Italia","383816","BCE 1",,"BCE 16",,"N","N","45.441366649999999","10.9951494333"
"Zeno","Zeno Veronensis","Zeno of Verona","Verona, Italy","Verona, Italia","383816","CE 4",,,"c. CE 362-371","Y","Y","45.441366649999999","10.9951494333"
"Catull.","Gaius Valerius Catullus",,"Verona, Italy","Verona, Italia","383816","BCE 1","c. BCE 87-84","c. BCE 55-54",,"N","N","45.441366649999999","10.9951494333"
"M.Cet.Fav.","Marcus Cetius Faventinus",,"Faenza, Italy","Faventia, Italia","393420","CE 3",,,,,,"44.286236000000002","11.883507"
"Pompon.Bon.","Lucius Pomponius Bononiensis",,"Bologna, Italy","Bononia, Italia","393421","BCE 2-1",,,"BCE 89","N","N","44.494573699999997","11.3455467"
,"Petronius Episcopus Bononiensis",,"Bologna, Italy","Bononia, Italia","393421","CE 5",,,"CE 432-450","Y","Y","44.494573699999997","11.3455467"
,"Passio S. Cassiani ludimagistri",,,"Imola/Forum Cornelii","393424",,,,,,,"44.353994999999998","11.707535"
"Ruf.Aquil.","Tyrannius Rufinus Aquileiensis","Rufinus of Aquileia","Concordia Sagittaria. Italy","Julia Concordia, Italia","393441","CE 4","c. CE 345","CE 411",,"Y","Y","45.756906000000001","12.844313"
"Paul.","Julius Paulus Prudentissimus","Paulus","Padua, Italy?","Patavium?","393473","CE 2-3",,,"198-235?","N","N","45.409560999999997","11.876975"
"Sil.","Tiberius Catius Asconius Silius Italicus","Silius Italicus","Padua, Italy (?)","Patavium, Italia","393473","CE 1","c. CE 26","c. CE 101",,"N","N","45.409560999999997","11.876975"
"Thras.","Publius Clodius Thrasea Paetus",,"Padova, Italy","Patavium, Italia","393473","CE 1",,"CE 66","c. CE 56",,,"45.409560999999997","11.876975"
"Val.Flaccus.","Gaius Valerius Flaccus Sentinus Balbus",,"Padua, Italy","Patavium, Italia","393473","CE 1",,"c. CE 92","c. CE 80","N","N","45.409560999999997","11.876975"
"Liv.","Titus Livius Patavinus","Livy","Padua, Italy (born) / Rome, Italy","Patavium, Italia (born) / Roma, Italia","393473 / 423025","BCE 1","BCE 59","CE 17",,"N","N",,
"Iord.","Iordanes",,"Ravenna, Italy","Ravenna, Italia","393480","CE 6",,,,"Y","N","44.415717999999998","12.196604000000001"
"Agn./Andr.Rav.","Agnellus or Andreas Ravennatensis",,"Ravenna, Italy","Ravenna, Italia","393480","CE 9","c. CE 805-850",,"CE 835-846","Y","Y","44.415717999999998","12.196604000000001"
"Agnellus.","Agnellus Ravennas","Agnellus Ravennas ","Ravenna, Italy","Ravenna, Italia","393480","CE 6","CE 487-570",,"CE 553 (556) - 570 ","Y","Y","44.415717999999998","12.196604000000001"
"Theodoric.","Theodoric Imperator / Flavius Theodericus","Theoderic the Great","Ravenna","Ravenna","393480","CE 6","CE 454","CE 526","CE 493 - 526","Y","Y","44.415717999999998","12.196604000000001"
"Iord. ","Iordanes",,"Ravenna, Italy","Ravenna, Italia","393480","CE 6",,,,"Y","Y","44.415717999999998","12.196604000000001"
"ps.-Fort.","ps.-Venantius Honorius Clementianus Fortunatus",,"Near Treviso, Italy","Duplavis (Near Tarvisium), Italia","393503","CE 6","CE 535",,,"Y","Y","45.666251000000003","12.242061"
"Fort.","Venantius Honorius Clementianus Fortunatus",,"Near Treviso, Italy","Duplavis (Near Tarvisium), Italia","393503","CE 6","CE 535",,,"Y","Y","45.666251000000003","12.242061"
"Palaem.","Quintus Remmius Palaemon",,"Vicenza, Italy","Vicentia, Italia","393513","CE 1",,,,"N","N","45.545772999999997","11.540277"
"Pers.","Aulus Persius Flaccus","Persius","Voltera, Italy","Volterrae, Italia","403292","CE 1","CE 34","CE 62",,"N","N","43.402155","10.860166424999999"
"Prop.","Sextus Propertius","Propertius","Assisi, Italy (born) / Rome, Italy","Asisium, Umbria (born) / Roma, Italia","413037 / 423025","BCE 1","c. BCE 48","c. BCE 16",,"N","N",,
"Corb.","Gnaeus Domitius Corbulo",,,"Peltuinum, Italia","413247",,"c. BCE 4 - CE 1","c. CE 66-67","c. CE 40-49",,,"42.284466999999999","13.621943999999999"
"Lutat.Daph.","Lutatius Daphnis",,"Pesaro, Italy","Pisaurum, Italia","413256","BCE 2-1",,,,,,"43.912081000000001","12.91577"
"Paull.","Gaius Suetonius Paullinus",,"Pesaro, Italy","Pisaurum, Italia","413256","CE 1","c. CE 10",,,,,"43.912081000000001","12.91577"
"T.Acc.","Titus Accius",,"Pesaro / Rome, Italy","Pisaurum / Roma, Italia","413256/423025","BCE 1",,,,,,,
"Vesp.","Titus Flavius Vespasianus (Imperator Caesar Vespasianus Augustus)","Emperor Vespasian","Rieti, Italy","Reate, Italia","413283","CE 1","CE 9","CE 79","CE 69-79",,,"42.403067","12.861183"
"Mel.Maec.","Gaius Melissus Maecenas",,"Spoleto, Italy","Spoletium, Italia","413320","BCE 1-CE 1",,,,,,"42.736403950000003","12.738590625000001"
"Pol.","Gaius Asinius Pollio",,"Chieti, Italy / Rome, Italy","Teate, Italia / Roma, Italia","413333 / 423025","BCE 1","BCE 76","CE 4",,"N","N",,
"Ben.Nurs.","Benedictus Nursiae",,"Norcia, Umbria, Italy","Nursia, Umbria, Italia","413360","CE 6","c. CE 480","c. CE 543-547",,"Y","Y","42.897027544499998","12.5768282098"
"Plaut.","Titus Maccius Plautus","Plautus","Central Italy (Born) / Rome, Italy","Sarsina, Umbria (Born) / Roma, Italia","413360 / 423025","BCE 3-2",,,"BCE 200","N","N",,
"Avien.","Postumius Rufius Festus Avienus",,"Bolsena, Italy","Volsinii, Italia (Etruria)","413389","CE 4",,,,"Y",,"42.644852","11.986114000000001"
